date;hour;price;day;load;wind_speed_north;humidity_north;cloud_cover_north;pressure_north;t_max_north;rain_north;wind_speed_atl;humidity_atl;cloud_cover_atl;pressure_atl;t_max_atl;rain_atl;wind_speed_norm;humidity_norm;cloud_cover_norm;pressure_norm;t_max_norm;rain_norm;wind_speed_south;humidity_south;cloud_cover_south;pressure_south;t_max_south;rain_south;wind_speed_paris;humidity_paris;cloud_cover_paris;pressure_paris;t_max_paris;rain_paris;;;;;;;;;;;;;;
01/01/2018;00:00:00;10,94;1;57638;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;01:00:00;9,04;1;56036;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;02:00:00;6,88;1;54494;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;03:00:00;3,69;1;51574;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;04:00:00;3,26;1;49370;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;05:00:00;3,27;1;49000;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;06:00:00;3,42;1;49333;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;07:00:00;4,99;1;49528;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;08:00:00;9,27;1;49360;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;09:00:00;12,16;1;50058;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;10:00:00;15,51;1;51855;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;11:00:00;16,28;1;54412;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;12:00:00;15,24;1;57142;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;13:00:00;14,05;1;56650;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
01/01/2018;14:00:00;10,39;1;54628;2,41;0,86;0,82;1001,38;8,32;0,05;8,2;0,8;0,67;1011,13;11,84;0,1803;2,59;0,87;0;1001,81;7,94;0,1245;5,57;0,67;0,68;1015,57;13,22;0,0178;3,38;0,85;0,79;1005,88;8,79;0,127;;;;;;;;;;;;;;
